customer_id,full_name,dob,email,phone_number,address,account_status,risk_category,registration_date
76aea208-0399-4277-8,Judith Black,2003-01-26,lindsey04@yahoo.com,887.803.6743x425,"2280 Graham Radial Apt. 016, Simschester, MS 50143",Active,Low,2020-01-05 17:18:07
7d51d909-1f12-4c49-b,Amber Johnson,1949-08-13,nicholas29@yahoo.com,(891)697-8900,"63241 Patricia Fork, Andrewside, NH 60460",Active,High,2021-12-27 15:44:41
05850716-f857-48ca-9,Robert Thomas,1993-11-14,cramsey@jones-aguilar.com,923.496.8425,"6064 Larry Burg, East Tiffany, DC 32295",Suspended,Medium,2020-02-16 03:34:30
0ba11cad-727e-4277-a,Regina Thompson,1967-05-21,gcox@yahoo.com,001-288-720-4019,"096 Lisa Squares, New Melanieshire, ME 55071",Suspended,High,2020-04-25 06:50:51
1008069e-6e29-4bbd-9,Nicholas Brown,1947-11-28,courtney09@ortiz.com,368-308-8116x76672,"1724 Rasmussen Cove Suite 012, South John, NE 76424",Closed,High,2024-01-30 05:23:24
93c57299-fab4-4afd-8,Joyce Schroeder,2006-05-04,amanda27@hotmail.com,656.795.6864x11627,"Unit 0438 Box 6808, DPO AE 41863",Closed,High,2023-10-26 04:44:08
aa4ccef1-5e8f-42dd-b,Andrew Martinez,1974-01-23,xhughes@hotmail.com,001-656-635-6174x446,"6181 Bethany Streets, New Brianbury, HI 18106",Suspended,High,2024-01-17 11:42:16
f4fc526d-40c6-41ec-b,Tara Patterson,1956-07-03,angelalane@holland-strickland.net,481-274-4170,"80836 Pamela Mission Apt. 615, Sheilastad, NE 56116",Suspended,Low,2022-08-15 11:10:42
d9023e56-9bd7-425e-9,Marie Butler,2003-01-21,fberg@gentry-johnson.com,001-139-821-7931,"9575 Gabriel Garden Suite 362, Maryside, MS 62972",Closed,High,2022-03-27 00:36:08
9111ea7b-3252-46ac-8,Darrell Castillo,1991-06-07,johnsantos@yahoo.com,(905)753-1295x41370,"16276 Jeffrey Rapids, North Gregoryfurt, MD 02708",Suspended,Medium,2021-01-27 23:02:23
d44dcb4c-0ef9-455b-8,Jeanne Butler,1990-08-31,murraygina@yahoo.com,(199)985-8486,"PSC 9932, Box 7520, APO AP 91693",Closed,Medium,2023-02-09 01:23:03
